책이름,저자,가격
IT 세계의 괴물들,아무준수 지음 | 생능북스,"17,820"
사진가를 위한 캡쳐원 가이드북,박무웅.홍명희 지음 | 영진.com(영진닷컴),"27,000"
"Crafting Interpreters 로버트 나이스트롬의 인터프리터 in Java, C","로버트 나이스트롬 지음, 이일웅 옮김 | 길벗","49,500"
프로덕트 : 유저를 사로잡는 서비스 기획의 모든 것,홍석희 지음 | 한빛미디어,"19,800"
챗GPT로 완성하는 엑셀 업무 자동화 with MS 파워 오토메이트,김성준 지음 | 프리렉,"21,600"
Release의 모든 것,"마이클 나이가드 지음, 박성철 옮김 | 한빛미디어","32,400"
스티븐 울프럼의 챗GPT 강의,"스티븐 울프럼 지음, 박해선 옮김 | 한빛미디어","18,000"
머신 러닝 교과서: 파이토치 편,"세바스찬 라시카.유시 (헤이든) 류.바히드 미자리리 지음, 박해선 옮김 | 길벗","52,200"
인물부터 연출까지 레벨 업 캐릭터 작화,"이치업 편집부 지음, 김진아 옮김 | 영진.com(영진닷컴)","19,800"
모니터링의 새로운 미래 관측 가능성,정현석.진미란 지음 | 제이펍,"34,200"
2024 알기사 정보보안기사 (산업기사) 필기 + 핵심기출 1200제,조현준 지음 | 탑스팟,"42,300"
헤드 퍼스트 C#,"앤드류 스텔만.제니퍼 그린 지음, 이수겸 옮김, 이재윤 외 감수 | 한빛미디어","37,800"
2024 이기적 빅데이터분석기사 실기 (Python 분석),나홍석 외 지음 | 영진.com(영진닷컴),"22,500"
2024 이기적 빅데이터분석기사 실기 (Python 분석),나홍석 외 지음 | 영진.com(영진닷컴),"22,500"
좋아하는 일로 먹고삽니다,김인숙 지음 | 길벗,"15,300"
실전 피그마,"김범용(스무, SMU) 지음 | 길벗","23,400"
2024 이기적 빅데이터분석기사 필기 기본서,나홍석 외 지음 | 영진.com(영진닷컴),"29,700"
2024 이기적 정보처리기사 필기 절대족보,신면철.강희영 지음 | 영진.com(영진닷컴),"20,700"
2024 이기적 정보처리기사 필기 + 실기 환상의 콤비,고소현.한진만 지음 | 영진.com(영진닷컴),"43,200"
2024 이기적 ITQ 환상의 콤비 OA Master ver.2020 + 2016,영진정보연구소 엮음 | 영진.com(영진닷컴),"27,000"
2024 이기적 정보처리산업기사 필기 + 실기 환상의 콤비 (최신개정판),정선아.신동욱 지음 | 영진.com(영진닷컴),"40,500"
2024 이기적 정보처리기능사 필기 기본서 & 기출공략집,영진정보연구소 지음 | 영진.com(영진닷컴),"18,000"
2024 이기적 워드프로세서 필기 최신문제집,김옥남.이상미 지음 | 영진.com(영진닷컴),"15,120"
2024 이기적 정보처리기사 필기 절대족보,신면철.강희영 지음 | 영진.com(영진닷컴),"20,700"
2024 이기적 컴퓨터그래픽스운용기능사 필기 기본서,이향아 지음 | 영진.com(영진닷컴),"20,700"
2024 이기적 컴퓨터활용능력 1급 필기 기본서,홍태성.영진정보연구소 지음 | 영진.com(영진닷컴),"27,900"
2024 이기적 정보처리기사 실기 최신문제집,고소현.한진만 지음 | 영진.com(영진닷컴),"19,800"
2024 이기적 웹디자인기능사 필기 절대족보,윤미선.김윤호.영진정보연구소 지음 | 영진.com(영진닷컴),"17,100"
그렇게 쓰면 아무도 안 읽습니다,전주경 지음 | 윌북,"17,820"
오늘날 우리는 컴퓨터라 부른다,"마틴 데이비스 지음, 박상민 옮김 | 인사이트","18,000"
리그 오브 레전드 플레이어 중심주의,오진호 지음 | 골든래빗(주),"18,000"
요즘 우아한 개발,우아한형제들 지음 | 골든래빗(주),"21,600"
육각형 개발자,최범균 지음 | 한빛미디어,"19,800"
비전공자를 위한 이해할 수 있는 IT 지식,최원영 지음 | T.W.I.G(티더블유아이지)(주),"15,120"
(사용자를) 생각하게 하지 마!,"스티브 크룩 지음, 이미령 옮김 | 인사이트","16,200"
클린 코드 Clean Code,"로버트 C. 마틴 지음, 이해영.박재호 옮김 | 인사이트","29,700"
혼자 공부하는 파이썬,윤인성 지음 | 한빛미디어,"19,800"
Do it! 점프 투 파이썬,박응용 지음 | 이지스퍼블리싱,"19,800"
밑바닥부터 시작하는 딥러닝,"사이토 고키 지음, 개앞맵시 옮김 | 한빛미디어","21,600"
난생처음 파이썬 프로그래밍,우재남.최민아 지음 | 한빛아카데미(교재),"24,000"
이것이 취업을 위한 코딩 테스트다 with 파이썬,나동빈 지음 | 한빛미디어,"30,600"
코딩 자율학습 나도코딩의 파이썬 입문,나도코딩 지음 | 길벗,"21,600"
만들면서 배우는 파이썬과 40개의 작품들,장문철 지음 | 앤써북,"16,920"
모두의 데이터 분석 with 파이썬,송석리.이현아 지음 | 길벗,"16,200"
혼자 공부하는 머신러닝 + 딥러닝,박해선 지음 | 한빛미디어,"23,400"
