책이름,저자,출판사,출간일,가격
메리골드 마음 세탁소,윤정은,북로망스,2023년 03월,"13,500"
불편한 편의점,김호연,나무옆의자,2021년 04월,"12,600"
모순,양귀자,쓰다,2013년 04월,"11,700"
불편한 편의점 2,김호연,나무옆의자,2022년 08월,"12,600"
아주 희미한 빛으로도,최은영,문학동네,2023년 08월,"15,120"
아버지의 해방일지,정지아,창비,2022년 09월,"13,500"
구의 증명,최진영,은행나무,2023년 04월,"10,800"
황금종이 1,조정래,해냄,2023년 11월,"16,650"
작별하지 않는다,한강,문학동네,2021년 09월,"12,600"
황금종이 2,조정래,해냄,2023년 11월,"16,650"
비가 오면 열리는 상점 ,유영광,클레이하우스,2023년 06월,"15,120"
파견자들,김초엽,퍼블리온,2023년 10월,"17,100"
달러구트 꿈 백화점 ,이미예,팩토리나인,2020년 07월,"12,420"
회색 인간,김동식,요다,2017년 12월,"11,700"
밝은 밤,최은영,문학동네,2021년 07월,"13,950"
지구 끝의 온실,김초엽,자이언트북스,2021년 08월,"13,500"
소년이 온다,한강,창비,2014년 05월,"13,500"
2023 제14회 젊은작가상 수상작품집,이미상,문학동네,2023년 04월,"6,930"
너무나 많은 여름이,김연수,레제,2023년 06월,"14,400"
홍학의 자리,정해연,엘릭시르,2021년 07월,"12,600"
"칵테일, 러브, 좀비",조예은,안전가옥,2020년 04월,"11,700"
2024 제15회 젊은작가상 수상작품집,김멜라,문학동네,2024년 03월,"6,930"
메리골드 마음 사진관,윤정은,북로망스,2024년 01월,"15,300"
"어서 오세요, 휴남동 서점입니다",황보름,클레이하우스,2022년 01월,"13,500"
풍수전쟁,김진명,이타북스,2023년 05월,"15,120"
작별인사,김영하,복복서가,2022년 09월,"12,600"
단 한 사람,최진영,한겨레출판,2023년 09월,"13,500"
눈부신 안부,백수린,문학동네,2023년 05월,"14,400"
달러구트 꿈 백화점 2,이미예,팩토리나인,2021년 07월,"12,420"
우리가 빛의 속도로 갈 수 없다면,김초엽,허블,2019년 06월,"12,600"
채식주의자,한강,창비,2022년 03월,"13,500"
천 개의 파랑,천선란,허블,2020년 08월,"12,600"
훌훌,문경민,문학동네,2022년 02월,"11,250"
"설자은, 금성으로 돌아오다",정세랑,문학동네,2023년 10월,"15,120"
고래,천명관,문학동네,2004년 12월,"13,500"
한국단편소설 40,성낙수,리베르,2012년 11월,"15,120"
각각의 계절,권여선,문학동네,2023년 05월,"13,500"
파과,구병모,위즈덤하우스,2018년 04월,"12,600"
고래 ,천명관,문학동네,2023년 05월,"14,850"
아몬드,손원평,다즐링,2023년 07월,"15,120"
하얼빈,김훈,문학동네,2022년 08월,"14,400"
아가미,구병모,위즈덤하우스,2018년 03월,"11,700"
철도원 삼대,황석영,창비,2020년 06월,"18,000"
다 하지 못한 말,임경선,토스트,2024년 03월,"16,200"
나는 소망한다 내게 금지된 것을,양귀자,쓰다,2019년 04월,"13,500"
저주토끼 ,정보라,래빗홀,2023년 04월,"14,220"
종의 기원,정유정,은행나무,2016년 05월,"11,700"
이토록 평범한 미래,김연수,문학동네,2022년 10월,"12,600"
해가 지는 곳으로,최진영,민음사,2017년 06월,"12,600"
수상한 한의원,배명은,텍스티(TXTY),2024년 01월,"15,120"
[예스리커버] 가녀장의 시대,이슬아,이야기장수,2022년 10월,"13,500"
요괴어사,설민석,단꿈아이,2023년 04월,"16,200"
연수,장류진,창비,2023년 06월,"15,120"
스파이 외전,민경우,투나미스,2023년 11월,"15,750"
달의 아이,최윤석,포레스트북스,2023년 09월,"15,300"
이끼숲,천선란,자이언트북스,2023년 05월,"14,220"
지구에서 한아뿐,정세랑,난다,2019년 07월,"11,700"
"시선으로부터,",정세랑,문학동네,2020년 06월,"12,600"
푸틴을 죽이는 완벽한 방법,김진명,이타북스,2023년 09월,"16,920"
연남동 빙굴빙굴 빨래방,김지윤,팩토리나인,2023년 08월,"15,120"
바깥은 여름,김애란,문학동네,2017년 06월,"13,050"
오로라,최진영,위즈덤하우스,2024년 02월,"11,700"
마지막 마음이 들리는 공중전화,이수연,클레이하우스,2024년 01월,"16,020"
쇼코의 미소,최은영,문학동네,2016년 07월,"13,050"
[최근담] 가꾸는 이의 즐거움,이유리,예스이십사,2022년 04월,0
땀 흘리는 소설,김혜진,창비교육,2019년 03월,"13,500"
사서함 110호의 우편물,이도우,수박설탕,2022년 07월,"15,300"
난장이가 쏘아올린 작은 공,조세희,이성과 힘,2000년 07월,"11,700"
환상서점 ,소서림,해피북스투유,2023년 02월,"13,950"
그 많던 싱아는 누가 다 먹었을까,박완서,웅진지식하우스,2021년 01월,"15,300"
테스터,이희영,허블,2022년 11월,"12,600"
마당이 있는 집,김진영,엘릭시르,2018년 04월,"12,420"
인생 박물관,김동식,요다,2023년 03월,"13,500"
위저드 베이커리,구병모,창비,2022년 03월,"12,600"
전지적 독자 시점 PART 1 - 01,싱숑,비채,2022년 01월,"12,150"
피프티 피플,정세랑,창비,2021년 08월,"12,600"
파쇄,구병모,위즈덤하우스,2023년 03월,"11,700"
죽이고 싶은 아이,이꽃님,우리학교,2021년 10월,"12,600"
원미동 사람들,양귀자,쓰다,2012년 12월,"11,700"
검은 꽃,김영하,복복서가,2020년 07월,"9,900"
여름의 빌라,백수린,문학동네,2020년 07월,"13,320"
전지적 독자 시점 PART 1 - 02,싱숑,비채,2022년 01월,"12,150"
새의 선물,은희경,문학동네,2022년 06월,"14,400"
순이 삼촌,현기영,창비,2015년 03월,"14,400"
전지적 독자 시점 PART 1 - 08,싱숑,비채,2022년 01월,"12,150"
전지적 독자 시점 PART 1 - 03,싱숑,비채,2022년 01월,"12,150"
탱크,김희재,한겨레출판,2023년 07월,"13,500"
살인자의 쇼핑몰,강지영,자음과모음,2020년 02월,"12,420"
[예스리커버] 천 개의 파랑,천선란,허블,2022년 11월,"12,600"
난장이가 쏘아올린 작은 공,조세희,이성과 힘,2024년 02월,"13,950"
전지적 독자 시점 PART 1 - 07,싱숑,비채,2022년 01월,"12,150"
광인,이혁진,민음사,2023년 11월,"17,100"
전지적 독자 시점 PART 1 - 04,싱숑,비채,2022년 01월,"12,150"
급류,정대건,민음사,2022년 12월,"12,600"
분실물이 돌아왔습니다,김혜정,오리지널스,2024년 02월,"14,400"
살인자의 기억법,김영하,복복서가,2020년 08월,"9,000"
유괴의 날,정해연,시공사,2019년 07월,"15,300"
전지적 독자 시점 PART 1 - 05,싱숑,비채,2022년 01월,"12,150"
전지적 독자 시점 PART 1 - 06,싱숑,비채,2022년 01월,"12,150"
장하리,추미애,해피스토리,2023년 11월,"19,800"
구의 증명,최진영,은행나무,2015년 03월,"7,200"
원도,최진영,한겨레출판,2024년 03월,"13,500"
범도 1,방현석,문학동네,2023년 06월,"18,000"
소설 보다 : 여름 2023,공현진,문학과지성사,2023년 06월,"3,150"
홈 스위트 홈,최진영,문학사상,2023년 02월,"13,950"
요괴어사 2,설민석,단꿈아이,2023년 12월,"16,200"
[예스리커버] 트로피컬 나이트,조예은,한겨레출판,2023년 08월,"13,500"
내게 무해한 사람,최은영,문학동네,2018년 06월,"13,050"
완전한 행복,정유정,은행나무,2021년 06월,"14,220"
트로피컬 나이트,조예은,한겨레출판,2022년 08월,"13,500"
망원동 브라더스,김호연,나무옆의자,2013년 07월,"11,700"
살인자의 쇼핑몰 2,강지영,자음과모음,2023년 07월,"13,320"
범도 2,방현석,문학동네,2023년 06월,"18,000"
기억을 넘어 너에게 갈게,양은애,토마토출판사,2023년 01월,"11,700"
소설 보다 : 가을 2023,김지연,문학과지성사,2023년 09월,"3,150"
지켜야 할 세계,문경민,다산책방,2023년 10월,"15,300"
알래스카 한의원,이소영,사계절,2023년 03월,"13,500"
느티나무 수호대,김중미,돌베개,2023년 03월,"12,600"
고려거란전쟁 (상),길승수,들녘,2023년 11월,"16,200"
[최근담] 그래머블 제로 Grammable zero,박서련,예스이십사,2022년 05월,0
일의 기쁨과 슬픔,장류진,창비,2019년 10월,"12,600"
소설 보다 : 봄 2024,김채원,문학과지성사,2024년 03월,"4,950"
한국고전소설 40,권정현,리베르,2013년 01월,"15,120"
고려거란전쟁 (하),길승수,들녘,2023년 11월,"16,200"
모두의 연수,김려령,비룡소,2023년 05월,"13,500"
우리가 겨울을 지나온 방식,문미순,나무옆의자,2023년 05월,"12,600"
테디베어는 죽지 않아,조예은,안전가옥,2023년 06월,"15,030"
7년의 밤,정유정,은행나무,2011년 03월,"13,050"
무진기행,김승옥,민음사,2007년 08월,"9,000"
고통에 관하여,정보라,다산책방,2023년 08월,"16,200"
경우 없는 세계,백온유,창비,2023년 03월,"13,500"
세계를 건너 너에게 갈게,이꽃님,문학동네,2020년 11월,"12,600"
젓가락 달인,유타루,바람의아이들,2014년 06월,"11,700"
숨 쉬는 소설,최진영,창비교육,2021년 08월,"14,400"
밸런스 게임,김동식,요다,2021년 03월,"11,700"
튜브,손원평,창비,2022년 07월,"13,500"
날개,이상,문학과지성사,2005년 04월,"12,600"
아홉살 인생,위기철,현북스,2020년 05월,"10,800"
희망,양귀자,쓰다,2020년 06월,"17,820"
칼의 노래,김훈,문학동네,2014년 01월,"13,500"
날씨가 좋으면 찾아가겠어요,이도우,수박설탕,2023년 11월,"15,300"
어느 날 내가 죽었습니다,이경혜,바람의아이들,2004년 04월,"12,600"
비행운,김애란,문학과지성사,2012년 07월,"10,800"
한국단편소설 70,박완서,리베르,2013년 01월,"15,120"
돌이킬 수 있는,문목하,아작,2018년 12월,"13,320"
있을 법한 모든 것,구병모,문학동네,2023년 07월,"13,500"
소설 보다 : 겨울 2023,김기태,문학과지성사,2023년 12월,"3,150"
방금 떠나온 세계,김초엽,한겨레출판,2021년 10월,"13,500"
2023 김승옥문학상 수상작품집,권여선,문학동네,2023년 10월,"10,800"
죽어나간 시간을 위한 애도,김홍신,해냄,2023년 10월,"16,020"
댓글부대,장강명,은행나무,2015년 11월,"15,120"
제주도우다 세트,현기영,창비,2023년 07월,"45,900"
눈물을 마시는 새 특별판 세트 ,이영도,황금가지,2023년 05월,"90,000"
광장/구운몽,최인훈,문학과지성사,2014년 12월,"12,600"
세상에서 가장 약한 요괴,김동식,요다,2017년 12월,"11,700"
두근두근 내 인생,김애란,창비,2011년 06월,"12,600"
당신이 보고 싶어하는 세상,장강명,문학동네,2023년 07월,"15,300"
종의 기원담,김보영,아작,2023년 06월,"15,120"
페퍼민트,백온유,창비,2022년 07월,"12,600"
소설 보다 : 봄 2023,강보라,문학과지성사,2023년 03월,"3,150"
엄마의 말뚝,박완서,세계사,2012년 01월,"16,200"
노 휴먼스 랜드,김정,창비,2023년 07월,"13,500"
"너는, 어느 계절에 죽고 싶어",홍선기,모모,2023년 06월,"15,120"
유령의 마음으로,임선우,민음사,2022년 03월,"11,700"
카지노,김진명,새움,2022년 12월,"14,850"
밝은 밤 (특별 한정 에디션),최은영,문학동네,2022년 07월,"11,250"
내가 되는 꿈,최진영,현대문학,2021년 02월,"12,600"
아홉수 가위,범유진,안전가옥,2021년 10월,"11,700"
이상 소설 전집,이상,민음사,2012년 11월,"11,700"
작별 곁에서,신경숙,창비,2023년 05월,"13,500"
남한산성,김훈,학고재,2017년 07월,"14,400"
지구 생물체는 항복하라,정보라,래빗홀,2024년 01월,"15,120"
13일의 김남우,김동식,요다,2017년 12월,"11,700"
흥화진의 별들,민강,역바연,2022년 12월,"15,300"
파과 (리커버),구병모,위즈덤하우스,2018년 04월,"14,220"
청년 주부 구운몽,강선우,고즈넉이엔티,2023년 02월,"13,500"
토지 1,박경리,다산책방,2023년 06월,"15,300"
중고생이 꼭 읽어야 할 한국단편소설 45,오대교,생각뿔,2019년 08월,"19,800"
구운몽,김만중,민음사,2003년 01월,"7,200"
소나기,황순원,맑은소리(동반인),2010년 01월,"6,300"
나의 아름다운 정원,심윤경,한겨레출판,2013년 11월,"9,900"
만조를 기다리며,조예은,위즈덤하우스,2023년 05월,"11,700"
폴링 인 폴,백수린,문학동네,2024년 02월,"15,300"
2023 제6회 한국과학문학상 수상작품집,한이솔,허블,2023년 05월,"6,930"
사랑의 이해,이혁진,민음사,2019년 04월,"13,500"
로기완을 만났다 (리마스터판),조해진,창비,2024년 02월,"13,500"
대도시의 사랑법,박상영,창비,2019년 07월,"12,600"
까칠한 재석이가 사라졌다,고정욱,애플북스,2022년 04월,"10,800"
미래의 조각,정영수,현대문학,2023년 12월,"13,500"
귤의 맛,조남주,문학동네,2020년 05월,"11,250"
나인,천선란,창비,2021년 11월,"13,500"
공룡의 이동 경로,김화진,스위밍꿀,2023년 08월,"13,500"
나목,박완서,세계사,2012년 01월,"12,600"
연결하는 소설,김애란,창비교육,2023년 06월,"15,300"
김약국의 딸들,박경리,다산책방,2023년 04월,"16,200"
가슴 뛰는 소설 : 사랑이 움직이는 순간,박상영,창비교육,2020년 08월,"14,400"
곰탕 1,김영탁,arte(아르테),2018년 03월,"15,300"
눈물을 마시는 새 윷놀이 세트,이영도,황금가지,2023년 05월,"117,000"
랑과 나의 사막,천선란,현대문학,2022년 10월,"11,700"
취미는 사생활,장진영,은행나무,2023년 04월,"11,700"
"사랑이라니, 선영아",김연수,문학동네,2015년 10월,"9,900"
나주에 대하여,김화진,문학동네,2022년 10월,"13,500"
책들의 부엌,김지혜,팩토리나인,2022년 05월,"13,050"
허구의 삶,이금이,문학동네,2019년 10월,"11,250"
한 스푼의 시간,구병모,위즈덤하우스,2016년 09월,"10,800"
[그래제본소] 아일랜드 쌍둥이,홍숙영,클레이하우스,2024년 04월,"15,030"
빨치산의 딸 1,정지아,필맥,2023년 06월,"13,500"
고구려 7,김진명,이타북스,2021년 06월,"14,220"
국립존엄보장센터,남유하,서해문집,2022년 05월,"11,250"
중급 한국어,문지혁,민음사,2023년 03월,"12,600"
종이 비행기,구소은,봄의영토,2024년 04월,"18,000"
