순위,제목,가수,앨범,좋아요 수
1,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night,"84,073"
2,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',"273,557"
3,Drama,aespa,Drama - The 4th Mini Album,"60,428"
4,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,"58,646"
5,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,"207,695"
6,비의 랩소디,임재현,비의 랩소디,"15,197"
7,Baddie,IVE (아이브),I'VE MINE,"57,768"
8,Do or Die,임영웅,Do or Die,"37,427"
9,헤어지자 말해요,박재정,1집 Alone,"152,604"
10,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,"199,191"
11,모래 알갱이,임영웅,모래 알갱이,"55,903"
12,인사,범진,인사,"72,083"
13,우리들의 블루스,임영웅,IM HERO,"101,615"
14,다시 만날 수 있을까,임영웅,IM HERO,"82,979"
15,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me],"58,336"
16,Love Lee,AKMU (악뮤),Love Lee,"113,393"
17,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,"172,917"
18,Standing Next to You,정국,GOLDEN,"56,921"
19,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),"49,612"
20,무지개,임영웅,IM HERO,"71,379"
21,I AM,IVE (아이브),I've IVE,"205,783"
22,에피소드,이무진,에피소드,"18,928"
23,London Boy,임영웅,Polaroid,"58,844"
24,아버지,임영웅,IM HERO,"58,016"
25,Polaroid,임영웅,Polaroid,"53,063"
26,인생찬가,임영웅,IM HERO,"53,447"
27,후라이의 꿈,AKMU (악뮤),Love Lee,"114,518"
28,A bientot,임영웅,IM HERO,"54,580"
29,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',"156,696"
30,Ditto,NewJeans,NewJeans 'OMG',"277,212"
31,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,"74,457"
32,연애편지,임영웅,IM HERO,"51,284"
33,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,"284,018"
34,ETA,NewJeans,NewJeans 2nd EP 'Get Up',"114,478"
35,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)","62,739"
36,Either Way,IVE (아이브),I'VE MINE,"70,255"
37,별 떨어진다 (I Do),디오 (D.O.),기대 - The 2nd Mini Album,"60,423"
38,사랑할 수밖에,볼빨간사춘기,Merry Go Round,"14,759"
39,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',"283,893"
40,화이트 (White),폴킴,화이트 (White),"12,844"
41,퀸카 (Queencard),(여자)아이들,I feel,"138,444"
42,Get A Guitar,RIIZE,Get A Guitar,"63,837"
43,"Smoke (Prod. Dynamicduo, Padi)",다이나믹 듀오,스트릿 우먼 파이터2(SWF2) 계급미션,"54,729"
44,Merry PLLIstmas,PLAVE,Merry PLLIstmas,"22,172"
45,Off The Record,IVE (아이브),I'VE MINE,"45,985"
46,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,"428,283"
47,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),"263,268"
48,Dynamite,방탄소년단,Dynamite (DayTime Version),"460,373"
49,잠시라도 우리,성시경,잠시라도 우리,"32,331"
50,Chill Kill,Red Velvet (레드벨벳),Chill Kill - The 3rd Album,"36,437"
51,음악의 신,세븐틴 (SEVENTEEN),SEVENTEEN 11th Mini Album ‘SEVENTEENTH HEAVEN',"75,117"
52,봄날,방탄소년단,YOU NEVER WALK ALONE,"554,967"
53,Fast Forward,전소미,GAME PLAN,"71,336"
54,Discord,QWER,1st Single Album 'Harmony from Discord',"29,868"
55,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),"198,778"
56,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',"316,502"
57,Spicy,aespa,MY WORLD - The 3rd Mini Album,"127,535"
58,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어,"50,561"
59,크리스마스니까,성시경,Jelly Christmas 2012 HEART PROJECT,"170,829"
60,OMG,NewJeans,NewJeans 'OMG',"197,229"
61,Kitsch,IVE (아이브),I've IVE,"153,967"
62,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN,"111,668"
63,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),"237,910"
64,Butter,방탄소년단,Butter,"294,370"
65,취중고백,김민석,취중고백,"177,685"
66,심(心),DK(디셈버),심(心),"70,403"
67,GODS,NewJeans,2023 리그 오브 레전드 월드 챔피언십 주제곡,"36,636"
68,Steal The Show (From “엘리멘탈”),Lauv,Steal The Show (From “엘리멘탈”),"160,746"
69,LOVE DIVE,IVE (아이브),LOVE DIVE,"246,080"
70,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),"128,281"
71,I Don't Think That I Like Her,Charlie Puth,CHARLIE,"193,573"
72,물론,허각,물론,"49,644"
73,After LIKE,IVE (아이브),After LIKE,"239,299"
74,Bubble,STAYC(스테이씨),TEENFRESH,"51,763"
75,"그대가 있는 곳, 언제 어디든",로이킴,로이킴 X 마이데몬,"12,246"
76,주저하는 연인들을 위해,잔나비,전설,"406,367"
77,MANIAC,VIVIZ (비비지),The 4th Mini Album 'VERSUS',"21,910"
78,그중에 그대를 만나,김호중,삼남매가 용감하게 OST Part.1,"23,110"
79,해요 (2022),#안녕,해요 (2022),"92,068"
80,Santa Tell Me,Ariana Grande,Santa Tell Me,"247,178"
81,3D (feat. Jack Harlow),정국,3D (feat. Jack Harlow),"56,084"
82,여섯 번째 여름,PLAVE,ASTERUM : The Shape of Things to Come,"32,111"
83,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,"179,683"
84,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,"432,873"
85,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호),"182,405"
86,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND',"181,832"
87,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition),"200,476"
88,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML',"162,472"
89,Closer Than This,지민,Closer Than This,"21,705"
90,I Love My Body,화사 (HWASA),I Love My Body,"32,718"
91,Be There For Me,NCT 127,Be There For Me - Winter Special Single,"24,705"
92,Attention,NewJeans,NewJeans 1st EP 'New Jeans',"237,070"
93,사랑..그게 뭔데,지아,사랑..그게 뭔데,"33,110"
94,Yes or No,정국,GOLDEN,"33,673"
