Area,Temperature,Humidity
강릉,-3.3,26
강진군,-2.2,66
강화,-9.8,42
거제,-1.4,51
거창,-4.0,55
경주시,-3.1,35
고산,3.4,71
고창,-5.2,73
고창군,-4.6,74
고흥,0.0,53
광양시,-2.1,56
광주,-3.2,64
구미,-3.6,41
군산,-5.5,58
금산,-7.3,76
김해시,-2.9,44
남원,-4.5,59
남해,-2.6,59
대관령,-13.3,45
대구,-3.9,41
대전,-5.7,48
동두천,-11.5,58
동해,-1.8,26
목포,-3.4,63
문경,-6.8,57
밀양,-2.5,35
백령도,-6.7,74
보령,-5.6,50
보성군,-1.7,62
보은,-7.5,60
봉화,-6.2,40
부산,-1.9,36
부안,-4.3,66
부여,-6.6,59
북강릉,-3.7,25
북부산,-1.3,38
북창원,-2.2,44
북춘천,-11.7,63
산청,-4.0,57
상주,-5.5,51
서귀포,4.9,59
서산,-7.4,56
서울,-8.6,45
서청주,-8.7,74
성산,4.1,66
세종,-6.4,68
속초,-4.1,24
수원,-7.3,42
순창군,-4.8,70
순천,-2.8,59
안동,-8.0,55
양산시,-0.2,35
양평,-8.6,66
여수,-2.2,59
영광군,-5.5,74
영덕,-3.9,33
영월,-9.7,69
영주,-8.2,48
영천,-3.3,40
완도,-1.2,62
울릉도,1.0,59
울산,-2.4,36
울진,-2.2,21
원주,-8.9,60
의령군,-1.8,47
의성,-6.8,68
이천,-9.3,69
인제,-10.7,64
인천,-8.3,44
임실,-4.6,63
장수,-6.3,64
장흥,-0.8,58
전주,-4.3,61
정선군,-10.3,49
정읍,-4.9,69
제주,3.4,63
제천,-9.8,59
진도군,-2.0,66
진주,-3.3,51
창원,-3.5,41
천안,-9.5,78
철원,-13.6,75
청송군,-6.6,46
청주,-8.0,61
추풍령,-7.8,59
춘천,-10.1,69
충주,-9.3,73
태백,-7.8,37
통영,-1.2,46
파주,-12.0,73
포항,-2.8,35
함양군,-4.0,59
합천,-3.6,50
해남,-2.0,68
홍성,-8.2,82
홍천,-11.3,72
흑산도,-0.2,82
